EJER;CCAA;PROV;SEXO;NACIONALIDAD;MODELO;M100_1;M100_2;M100_3;M100_4;M100_5;M100_6;M100_7;M100_8;M100_9;M100_10;M100_11;M100_12;M100_13;M100_14;M100_15;M100_16;M100_17;M100_18;M100_19;M100_20;M100_21;M100_22;M100_23;M100_24;M100_25;M100_26;M100_27;M100_28;M100_29;M100_30;M100_31;M100_32;M100_33;M100_34;M100_35
2022;5;38;2;1;100;325136969,270000;216386034,740000;5256314,010000;845646,200000;2097251,550000;12836350,370000;43657111,840000;5426491,530000;89138,500000;1572706,570000;27347166,020000;283811308,890000;32022658,260000;315833967,150000;277434505,320000;31972432,450000;307433399,750000;179908950,000000;144399450,000000;29590850,000000;382150,000000;5536500,000000;24781261,540000;24300208,880000;49081470,420000;690321,320000;1921400,540000;170758,560000;4872312,490000;40896909,180000;3837223,170000;1670016,950000;2768842,590000;26131;24993
2022;1;23;1;1;100;51326200,430000;28605202,110000;312251,090000;7206,920000;109152,820000;139007,910000;4282291,660000;1675087,390000;79409,390000;208095,400000;212079,330000;35166600,310000;523674,420000;35690274,730000;32783051,260000;519109,770000;33247868,980000;32560550,000000;22976100,000000;8894000,000000;9450,000000;681000,000000;2446794,720000;2389826,960000;4836621,680000;40238,020000;0,000000;10912,900000;24734,340000;4690123,010000;-445709,000000;-922785,130000;622022,410000;4966;4100
2022;1;23;1;0;100;3310216797,300000;2529030891,830000;45319467,950000;1588121,640000;52475237,000000;40667887,250000;231997320,070000;34746316,790000;37409399,290000;9234672,820000;84879360,250000;2965975805,880000;124339804,410000;3090315610,290000;2804447972,010000;123921306,330000;2924424606,200000;1394039889,280000;1066165900,000000;195724600,000000;991889,280000;131157500,000000;253812099,350000;247842950,130000;501655049,480000;11149620,820000;125934,960000;2570163,340000;2424896,060000;486130084,180000;-7916169,320000;-25036460,210000;21856910,090000;219864;175660
2022;1;23;2;1;100;19080090,280000;10520335,880000;119588,670000;0,000000;96140,830000;120948,440000;1755786,550000;729202,340000;24709,550000;100040,390000;135184,550000;13385014,120000;254439,350000;13639453,470000;12838107,360000;253712,490000;13063448,840000;14312175,000000;10266550,000000;3607150,000000;22975,000000;415500,000000;1062019,090000;1039243,250000;2101262,340000;14694,000000;255,120000;9449,200000;16038,590000;2053631,400000;-105060,440000;-375712,150000;343074,010000;1986;1830
2022;1;23;2;0;100;2221276641,430000;1525213446,470000;22127041,930000;996020,760000;40863594,450000;38422515,040000;101900778,490000;23578069,710000;21233185,950000;6057161,320000;73646277,040000;1779537627,960000;93058855,740000;1872596483,700000;1737193969,150000;92771098,070000;1828443358,370000;1099433891,660000;848825150,000000;158346950,000000;757291,660000;91504500,000000;156500368,730000;152944503,930000;309444872,660000;6268007,460000;12851,720000;2348579,100000;1493050,720000;299768244,330000;5714714,130000;-11421552,240000;22996820,890000;150777;141442
2022;5;35;1;0;100;5965967956,550000;4905396388,210000;130020152,680000;6389730,430000;46759999,720000;156689520,350000;576537390,410000;61989177,760000;10520938,860000;14934015,050000;236859881,050000;5812576863,790000;357216637,470000;6169793501,260000;5646956150,320000;356775520,100000;5996103140,470000;1901732744,120000;1517450650,000000;227336400,000000;3179794,120000;153765900,000000;613644741,340000;609816601,160000;1223461342,500000;22728829,430000;33943374,090000;5168689,000000;58818964,550000;1112902347,820000;17625417,300000;1622222,930000;20925122,450000;293807;256946
2022;5;35;1;1;100;433402465,450000;314406089,650000;10558281,640000;926105,030000;1996831,360000;14251365,410000;75664646,650000;15420236,970000;333877,360000;1717815,370000;20885495,410000;425926513,360000;30731880,810000;456658394,170000;412501843,060000;30657164,990000;440827494,340000;200055933,330000;162478850,000000;32421350,000000;213233,330000;4942500,000000;39904558,180000;39660427,080000;79564985,260000;939582,810000;1224916,340000;142154,240000;6748184,260000;69333251,740000;7469532,130000;6552096,730000;1637925,490000;32046;28338
2022;5;35;2;0;100;4741566718,870000;3665564299,020000;83856022,470000;4966380,830000;40355372,050000;155294289,010000;248637818,200000;30431557,380000;3489696,060000;12539889,660000;195352206,520000;4182270743,260000;272897759,460000;4455168502,720000;4119309016,840000;272764530,770000;4388040806,320000;1753267394,970000;1364158300,000000;258099100,000000;3548844,970000;127461150,000000;413758177,340000;406316713,770000;820074891,110000;18317243,660000;10558969,980000;6126843,080000;48466190,710000;742759619,790000;170605,360000;-22408198,460000;32562468,620000;241472;235413
2022;5;35;2;1;100;326949465,670000;222825695,200000;6685377,820000;354243,840000;1674173,010000;12536243,340000;40992280,710000;11501827,590000;204760,140000;1231862,220000;16559955,620000;291994175,830000;23169196,840000;315163372,670000;285458956,560000;23146447,260000;307371876,240000;170387833,330000;135645950,000000;30605850,000000;296033,330000;3840000,000000;25060037,010000;24599234,320000;49659271,330000;838684,860000;487053,080000;167117,540000;5317471,940000;42221989,150000;1979231,700000;-240953,620000;3055078,040000;24731;23764
2022;13;28;2;0;100;44413432897,350000;37327949608,310000;1676329026,460000;24152691,310000;495270636,770000;1102169921,380000;2086249639,300000;70925704,700000;15900118,470000;75335789,190000;2971849632,640000;41454727140,510000;4483890661,450000;45938617801,960000;40893403434,000000;4482233698,390000;45345947101,240000;12312951378,580000;9778175100,000000;1712960150,000000;20734878,580000;801081250,000000;5029560381,380000;4558348357,140000;9587908738,520000;178751566,260000;5347595,760000;91403142,310000;56314502,510000;9245196330,570000;536047715,620000;375003328,440000;255222556,980000;1675568;1643922
2022;13;28;2;1;100;2479649549,880000;1805872805,730000;76873511,270000;2369780,560000;7710302,240000;27674371,370000;148262871,690000;46625664,130000;37205,310000;5832945,140000;82097304,010000;2048171931,700000;152485885,820000;2200657817,520000;2007924036,320000;152392966,210000;2154819195,800000;1003437754,960000;774086400,000000;202199700,000000;2726904,960000;24424750,000000;213925289,830000;192919225,520000;406844515,350000;4737329,430000;232423,600000;2314977,040000;7806722,760000;383847712,650000;1316652,380000;-15829650,530000;26199796,230000;144164;138437
2022;13;28;1;1;100;4477961408,250000;3713786506,550000;166041905,480000;9889757,820000;10403662,150000;29948451,860000;426174026,950000;60576722,840000;150135,660000;7022092,350000;217364513,070000;4264093018,810000;360648474,030000;4624741492,840000;4155425165,360000;360337397,620000;4506153854,470000;1287961387,470000;969952650,000000;282857300,000000;2168687,470000;32982750,000000;593763360,550000;528579938,930000;1122343299,480000;7955753,800000;1220029,020000;3634636,760000;8913241,510000;1076378440,910000;40401071,530000;30658570,110000;16854476,480000;200566;173282
2022;13;28;1;0;100;63448737107,710000;56382473836,340000;3019435065,360000;37066367,340000;549223410,870000;1013012462,350000;5053160241,560000;194829693,530000;23027979,340000;105993687,990000;4218660608,740000;63743082568,850000;6920291865,540000;70663374434,390000;62272636272,110000;6915142952,690000;69134739526,020000;13460759496,490000;10755136350,000000;1725973500,000000;15504396,490000;964145250,000000;8916348707,650000;8065803880,240000;16982152587,890000;219697638,540000;27849557,640000;101178996,940000;54539418,910000;16496987347,130000;1041580825,040000;934839792,230000;147439930,470000;2034884;1769051
2022;12;36;2;0;100;4309715912,820000;3279010052,310000;93838189,250000;1471757,240000;39587491,010000;105537001,730000;199789073,030000;24913418,850000;8414432,130000;10346553,910000;164754399,930000;3711646502,920000;253504454,910000;3965150957,830000;3653875629,620000;253306655,000000;3901947619,890000;1733870681,650000;1334842100,000000;221565500,000000;5063681,650000;172399400,000000;345251894,610000;331004475,920000;676256370,530000;12408409,850000;18636,360000;5618515,660000;3244845,130000;654716670,780000;27631023,780000;2656299,210000;33877675,280000;230374;223333
2022;12;36;2;1;100;71038174,740000;41651229,680000;557834,880000;28535,480000;137419,570000;496808,070000;4325804,050000;1034950,840000;56993,050000;417252,100000;960526,750000;48416670,350000;1498667,900000;49915338,250000;47005013,710000;1488900,570000;48221614,210000;42979362,500000;32316350,000000;9195000,000000;86512,500000;1381500,000000;3531228,910000;3355643,540000;6886872,450000;78303,010000;0,000000;40127,760000;83189,790000;6612875,030000;-359709,980000;-1096636,230000;993140,600000;5987;5737
2022;12;36;1;0;100;6063774524,770000;5069332727,960000;150469138,610000;2700594,040000;41019445,830000;92693428,160000;379772934,520000;29366893,030000;11303424,290000;12160534,840000;172804177,610000;5691653980,060000;312915643,410000;6004569623,470000;5503250545,340000;312388105,170000;5807554086,760000;1962189455,820000;1518493400,000000;222242600,000000;5457955,820000;215995500,000000;568429461,340000;546612900,260000;1115042361,600000;16450109,340000;221576,610000;5099491,060000;4503741,020000;1087079641,510000;14955811,860000;-6479006,170000;25801526,180000;293649;248969
2022;12;36;1;1;100;136199758,830000;102839702,450000;793798,400000;45711,760000;199355,410000;494640,500000;11835843,960000;1186789,500000;38439,820000;392585,630000;1362217,120000;117445107,330000;2134859,970000;119579967,300000;113527526,150000;2119709,720000;115288441,140000;53704775,000000;40811300,000000;10762250,000000;74725,000000;2056500,000000;11847544,950000;11323313,490000;23170858,440000;153887,250000;3493,240000;54974,140000;152250,830000;22629429,490000;-300005,410000;-735110,930000;709922,200000;8391;7207
2022;14;30;2;0;100;5593981452,790000;4218878698,940000;136438298,790000;1935243,510000;81746990,030000;112640141,330000;252272060,130000;25126146,000000;26249814,570000;10794657,270000;214971458,910000;4786695168,170000;341211596,200000;5127906764,370000;4707196433,770000;340885282,220000;5043110220,770000;2304875462,420000;1687492000,000000;373706650,000000;3626062,420000;240050750,000000;462529270,470000;443268704,100000;905797974,570000;21376748,890000;441562,630000;7566780,350000;11094280,810000;868471681,590000;23208413,780000;-15134513,920000;57330246,660000;297773;287243
2022;14;30;2;1;100;307825172,450000;153799839,720000;2163196,820000;129119,640000;1144620,490000;2354829,720000;15818494,670000;4257402,400000;416699,130000;1155853,910000;5138126,380000;179996718,100000;7162137,810000;187158855,910000;173951366,170000;7139834,140000;180609075,630000;209699175,000000;156767050,000000;48072600,000000;162525,000000;4697000,000000;10747574,490000;10384992,100000;21132566,590000;368716,630000;4024,220000;91468,360000;513665,380000;19884634,960000;939002,940000;-2238300,890000;4863356,660000;28553;27368
2022;14;30;1;0;100;8383395628,670000;6919413084,210000;242697388,860000;3459183,570000;100664767,790000;117353996,580000;614690102,970000;47313176,950000;58864222,120000;15075451,800000;331056339,080000;7965633469,170000;555977415,500000;8521610884,670000;7654032428,200000;555213327,000000;8199363886,880000;2896746947,440000;2084983800,000000;461416850,000000;4525797,440000;345820500,000000;805130909,720000;774223391,730000;1579354301,450000;35295453,020000;1106054,660000;8209805,030000;7911961,270000;1524674885,840000;34164232,920000;-4033030,180000;55473865,900000;424117;348093
2022;14;30;1;1;100;797072362,240000;490057272,100000;4960953,890000;175917,290000;1829620,480000;2824755,250000;33144355,850000;8646876,040000;1971270,200000;1875381,910000;7369419,330000;542733211,920000;12125799,870000;554859011,790000;502380825,640000;12000463,210000;513129666,910000;454637200,000000;315562850,000000;128708600,000000;209250,000000;10156500,000000;29816002,850000;28966411,280000;58782414,130000;883081,570000;29291,420000;136658,620000;565587,400000;55956442,190000;-136604,190000;-4529263,320000;9791526,920000;67942;55600
2022;7;24;2;0;100;2092570549,640000;1604962390,130000;48112843,260000;387972,300000;27324442,970000;36103370,300000;85472109,560000;14055594,070000;9956048,310000;5325327,180000;66035987,780000;1805818399,310000;109860048,300000;1915678447,610000;1777373740,300000;109688285,170000;1885046561,210000;815909250,000000;655627300,000000;86420600,000000;950100,000000;72911250,000000;169807374,880000;164634208,120000;334441583,000000;7395251,890000;28152,400000;2901409,200000;2629499,510000;321694580,110000;14523900,590000;5586532,330000;12390683,110000;110626;107281
