,EJER,CCAA,PROV,SEXO,NACIONALIDAD,MODELO,M100_1,M100_2,M100_3,M100_4,M100_5,M100_6,M100_7,M100_8,M100_9,M100_10,M100_11,M100_12,M100_13,BIT,M100_15,M100_16,M100_17,M100_18,M100_19,M100_20,M100_21,M100_22,M100_23,M100_24,M100_25,M100_26,M100_27,Deduccion_donativos,M100_29,M100_30,M100_31,M100_32,M100_33,num_declarantes,M100_35
27,2022,Canarias,Santa Cruz de Tenerife,Mujer,Extranjero,100,325136969.27,216386034.74,5256314.01,845646.2,2097251.55,12836350.37,43657111.84,5426491.53,89138.5,1572706.57,27347166.02,283811308.89,32022658.26,315833967.15,277434505.32,31972432.45,307433399.75,179908950.0,144399450.0,29590850.0,382150.0,5536500.0,24781261.54,24300208.88,49081470.42,690321.32,1921400.54,170758.56,4872312.49,40896909.18,3837223.17,1670016.95,2768842.59,26131,24993
28,2022,Andalucía,Jaén,Hombre,Extranjero,100,51326200.43,28605202.11,312251.09,7206.92,109152.82,139007.91,4282291.66,1675087.39,79409.39,208095.4,212079.33,35166600.31,523674.42,35690274.73,32783051.26,519109.77,33247868.98,32560550.0,22976100.0,8894000.0,9450.0,681000.0,2446794.72,2389826.96,4836621.68,40238.02,0.0,10912.9,24734.34,4690123.01,-445709.0,-922785.13,622022.41,4966,4100
29,2022,Andalucía,Jaén,Hombre,Nacional,100,3310216797.3,2529030891.83,45319467.95,1588121.64,52475237.0,40667887.25,231997320.07,34746316.79,37409399.29,9234672.82,84879360.25,2965975805.88,124339804.41,3090315610.29,2804447972.01,123921306.33,2924424606.2,1394039889.28,1066165900.0,195724600.0,991889.28,131157500.0,253812099.35,247842950.13,501655049.48,11149620.82,125934.96,2570163.34,2424896.06,486130084.18,-7916169.32,-25036460.21,21856910.09,219864,175660
30,2022,Andalucía,Jaén,Mujer,Extranjero,100,19080090.28,10520335.88,119588.67,0.0,96140.83,120948.44,1755786.55,729202.34,24709.55,100040.39,135184.55,13385014.12,254439.35,13639453.47,12838107.36,253712.49,13063448.84,14312175.0,10266550.0,3607150.0,22975.0,415500.0,1062019.09,1039243.25,2101262.34,14694.0,255.12,9449.2,16038.59,2053631.4,-105060.44,-375712.15,343074.01,1986,1830
31,2022,Andalucía,Jaén,Mujer,Nacional,100,2221276641.43,1525213446.47,22127041.93,996020.76,40863594.45,38422515.04,101900778.49,23578069.71,21233185.95,6057161.32,73646277.04,1779537627.96,93058855.74,1872596483.7,1737193969.15,92771098.07,1828443358.37,1099433891.66,848825150.0,158346950.0,757291.66,91504500.0,156500368.73,152944503.93,309444872.66,6268007.46,12851.72,2348579.1,1493050.72,299768244.33,5714714.13,-11421552.24,22996820.89,150777,141442
32,2022,Canarias,"Palmas, Las",Hombre,Nacional,100,5965967956.55,4905396388.21,130020152.68,6389730.43,46759999.72,156689520.35,576537390.41,61989177.76,10520938.86,14934015.05,236859881.05,5812576863.79,357216637.47,6169793501.26,5646956150.32,356775520.1,5996103140.47,1901732744.12,1517450650.0,227336400.0,3179794.12,153765900.0,613644741.34,609816601.16,1223461342.5,22728829.43,33943374.09,5168689.0,58818964.55,1112902347.82,17625417.3,1622222.93,20925122.45,293807,256946
33,2022,Canarias,"Palmas, Las",Hombre,Extranjero,100,433402465.45,314406089.65,10558281.64,926105.03,1996831.36,14251365.41,75664646.65,15420236.97,333877.36,1717815.37,20885495.41,425926513.36,30731880.81,456658394.17,412501843.06,30657164.99,440827494.34,200055933.33,162478850.0,32421350.0,213233.33,4942500.0,39904558.18,39660427.08,79564985.26,939582.81,1224916.34,142154.24,6748184.26,69333251.74,7469532.13,6552096.73,1637925.49,32046,28338
34,2022,Canarias,"Palmas, Las",Mujer,Nacional,100,4741566718.87,3665564299.02,83856022.47,4966380.83,40355372.05,155294289.01,248637818.2,30431557.38,3489696.06,12539889.66,195352206.52,4182270743.26,272897759.46,4455168502.72,4119309016.84,272764530.77,4388040806.32,1753267394.97,1364158300.0,258099100.0,3548844.97,127461150.0,413758177.34,406316713.77,820074891.11,18317243.66,10558969.98,6126843.08,48466190.71,742759619.79,170605.36,-22408198.46,32562468.62,241472,235413
35,2022,Canarias,"Palmas, Las",Mujer,Extranjero,100,326949465.67,222825695.2,6685377.82,354243.84,1674173.01,12536243.34,40992280.71,11501827.59,204760.14,1231862.22,16559955.62,291994175.83,23169196.84,315163372.67,285458956.56,23146447.26,307371876.24,170387833.33,135645950.0,30605850.0,296033.33,3840000.0,25060037.01,24599234.32,49659271.33,838684.86,487053.08,167117.54,5317471.94,42221989.15,1979231.7,-240953.62,3055078.04,24731,23764
36,2022,"Madrid, Comunidad de",Madrid,Mujer,Nacional,100,44413432897.35,37327949608.31,1676329026.46,24152691.31,495270636.77,1102169921.38,2086249639.3,70925704.7,15900118.47,75335789.19,2971849632.64,41454727140.51,4483890661.45,45938617801.96,40893403434.0,4482233698.39,45345947101.24,12312951378.58,9778175100.0,1712960150.0,20734878.58,801081250.0,5029560381.38,4558348357.14,9587908738.52,178751566.26,5347595.76,91403142.31,56314502.51,9245196330.57,536047715.62,375003328.44,255222556.98,1675568,1643922
